Source;Target;id;Type;label;weight
226;277;301;Undirected;7;7
226;280;302;Undirected;6;6
226;296;303;Undirected;6;6
226;320;304;Undirected;6;6
226;352;305;Undirected;6;6
226;367;306;Undirected;6;6
227;297;307;Undirected;6;6
227;392;308;Undirected;6;6
228;243;309;Undirected;8;8
232;277;310;Undirected;7;7
233;276;311;Undirected;6;6
233;412;312;Undirected;10;10
236;314;313;Undirected;3;3
238;395;314;Undirected;6;6
244;255;315;Undirected;6;6
244;256;316;Undirected;6;6
244;257;317;Undirected;6;6
244;258;318;Undirected;6;6
244;259;319;Undirected;6;6
244;260;320;Undirected;6;6
244;266;321;Undirected;6;6
244;277;322;Undirected;7;7
244;280;323;Undirected;6;6
244;296;324;Undirected;6;6
244;320;325;Undirected;6;6
244;352;326;Undirected;6;6
244;367;327;Undirected;6;6
250;263;328;Undirected;6;6
250;264;329;Undirected;8;8
250;311;330;Undirected;3;3
251;277;331;Undirected;7;7
255;256;332;Undirected;6;6
255;257;333;Undirected;6;6
255;258;334;Undirected;6;6
255;259;335;Undirected;6;6
255;260;336;Undirected;6;6
255;266;337;Undirected;6;6
255;277;338;Undirected;7;7
255;280;339;Undirected;6;6
255;296;340;Undirected;6;6
255;320;341;Undirected;6;6
255;352;342;Undirected;6;6
255;367;343;Undirected;6;6
256;257;344;Undirected;6;6
256;258;345;Undirected;6;6
256;259;346;Undirected;6;6
256;260;347;Undirected;6;6
256;266;348;Undirected;6;6
256;277;349;Undirected;7;7
256;280;350;Undirected;6;6
256;296;351;Undirected;6;6
256;320;352;Undirected;6;6
256;352;353;Undirected;6;6
256;367;354;Undirected;6;6
257;258;355;Undirected;6;6
257;259;356;Undirected;6;6
257;260;357;Undirected;6;6
257;266;358;Undirected;6;6
257;277;359;Undirected;7;7
257;280;360;Undirected;6;6
257;296;361;Undirected;6;6
257;320;362;Undirected;6;6
257;352;363;Undirected;6;6
257;367;364;Undirected;6;6
258;259;365;Undirected;6;6
258;260;366;Undirected;6;6
258;266;367;Undirected;6;6
258;277;368;Undirected;7;7
258;280;369;Undirected;6;6
258;296;370;Undirected;6;6
258;320;371;Undirected;6;6
258;352;372;Undirected;6;6
258;367;373;Undirected;6;6
259;260;374;Undirected;6;6
259;266;375;Undirected;6;6
259;277;376;Undirected;7;7
259;280;377;Undirected;6;6
259;296;378;Undirected;6;6
259;320;379;Undirected;6;6
259;352;380;Undirected;6;6
259;367;381;Undirected;6;6
260;266;382;Undirected;6;6
260;277;383;Undirected;7;7
260;280;384;Undirected;6;6
260;296;385;Undirected;6;6
260;320;386;Undirected;6;6
260;352;387;Undirected;6;6
260;367;388;Undirected;6;6
263;264;389;Undirected;6;6
266;277;390;Undirected;7;7
266;280;391;Undirected;6;6
266;296;392;Undirected;6;6
266;305;393;Undirected;6;6
266;320;394;Undirected;6;6
266;352;395;Undirected;6;6
266;367;396;Undirected;6;6
267;387;397;Undirected;7;7
268;283;398;Undirected;8;8
268;326;399;Undirected;8;8
268;343;400;Undirected;10;10
268;347;401;Undirected;8;8
268;348;402;Undirected;10;10
268;349;403;Undirected;8;8
268;350;404;Undirected;8;8
268;357;405;Undirected;8;8
268;368;406;Undirected;10;10
269;283;407;Undirected;8;8
269;326;408;Undirected;8;8
269;343;409;Undirected;10;10
269;347;410;Undirected;8;8
269;348;411;Undirected;10;10
269;349;412;Undirected;8;8
269;350;413;Undirected;8;8
269;357;414;Undirected;8;8
269;368;415;Undirected;10;10
270;355;416;Undirected;3;3
271;316;417;Undirected;6;6
276;412;418;Undirected;8;8
277;280;419;Undirected;7;7
277;295;420;Undirected;7;7
277;296;421;Undirected;7;7
277;305;422;Undirected;7;7
277;320;423;Undirected;7;7
277;352;424;Undirected;7;7
277;365;425;Undirected;7;7
277;367;426;Undirected;7;7
280;296;427;Undirected;6;6
280;320;428;Undirected;6;6
280;352;429;Undirected;6;6
280;367;430;Undirected;6;6
282;315;431;Undirected;6;6
283;317;432;Undirected;6;6
283;326;433;Undirected;8;8
